,Methods,Scenario,n,type,Values,std
0,RGCCA,Linear,100,Specificity,1.0,0.0
1,RGCCA,Linear,100,Precision,1.0,0.0
2,RGCCA,Linear,100,Recall,0.056951433411775644,0.0012071784692068291
3,RGCCA,Linear,100,FS,0.10776300141343526,0.0021604208112708445
4,RGCCA,Linear,100,MCC,0.08521978553985994,0.007408541065902269
5,SGCCA,Linear,100,Specificity,1.0,0.0
6,SGCCA,Linear,100,Precision,1.0,0.0
7,SGCCA,Linear,100,Recall,0.056438034640424274,0.001158139021785102
8,SGCCA,Linear,100,FS,0.10684362193072142,0.0020751542207340257
9,SGCCA,Linear,100,MCC,0.08198277096362942,0.007463500116750226
10,DGCCA,Linear,100,Specificity,0.9374539263081801,0.023459575757675197
11,DGCCA,Linear,100,Precision,0.578,0.13954051582087387
12,DGCCA,Linear,100,Recall,0.044226932190198284,0.011258113615633378
13,DGCCA,Linear,100,FS,0.08214629242490848,0.020776596160266756
14,DGCCA,Linear,100,MCC,-0.03902229576456503,0.0734748646121583
15,SNGCCA,Linear,100,Specificity,0.9984495127958024,0.008616475748076249
16,SNGCCA,Linear,100,Precision,0.9693333333333334,0.17059894489708896
17,SNGCCA,Linear,100,Recall,0.909645189047279,0.17715196554243068
18,SNGCCA,Linear,100,FS,0.9368560639869996,0.1706126497964236
19,SNGCCA,Linear,100,MCC,0.9357102697096285,0.17422808181753802
20,RGCCA,Nonlinear,100,Specificity,0.9516632343386122,0.04290095576134228
21,RGCCA,Nonlinear,100,Precision,0.9233333333333335,0.06887992773257273
22,RGCCA,Nonlinear,100,Recall,0.050095841873692086,0.0036386722109761917
23,RGCCA,Nonlinear,100,FS,0.09503424043041019,0.006903548716654386
24,RGCCA,Nonlinear,100,MCC,0.0018178682060095526,0.056580385383581955
25,SGCCA,Nonlinear,100,Specificity,0.9483378123187904,0.050404385468047715
26,SGCCA,Nonlinear,100,Precision,0.9213333333333332,0.07386474125047755
27,SGCCA,Nonlinear,100,Recall,0.04995495439149028,0.004028124338217915
28,SGCCA,Nonlinear,100,FS,0.09477029329040201,0.007632711432147613
29,SGCCA,Nonlinear,100,MCC,-0.0014642311017171877,0.06454262465013592
30,DGCCA,Nonlinear,100,Specificity,0.9049455934130406,0.019080886301157115
31,DGCCA,Nonlinear,100,Precision,0.35733333333333334,0.10812338630780423
32,DGCCA,Nonlinear,100,Recall,0.0272224342386576,0.008454626557487292
33,DGCCA,Nonlinear,100,FS,0.050584600418654715,0.01567195019110808
34,DGCCA,Nonlinear,100,MCC,-0.14669312596922515,0.057583630099315775
35,SNGCCA,Nonlinear,100,Specificity,0.9942582286981628,0.005654532175701172
36,SNGCCA,Nonlinear,100,Precision,0.8900000000000001,0.10847426730181989
37,SNGCCA,Nonlinear,100,Recall,0.9807564102564104,0.0770081116529618
38,SNGCCA,Nonlinear,100,FS,0.9306360166838477,0.08542496432134086
39,SNGCCA,Nonlinear,100,MCC,0.9298624691407896,0.08774704565820973
40,RGCCA,Linear,100,Specificity,1.0,0.0
41,RGCCA,Linear,100,Precision,1.0,0.0
42,RGCCA,Linear,100,Recall,0.0600301936244736,0.0016892346304762892
43,RGCCA,Linear,100,FS,0.11325650230544491,0.003004434144894989
44,RGCCA,Linear,100,MCC,0.10239291090448616,0.008590130882788902
45,SGCCA,Linear,100,Specificity,1.0,0.0
46,SGCCA,Linear,100,Precision,1.0,0.0
47,SGCCA,Linear,100,Recall,0.058364978988178585,0.0014412099868071886
48,SGCCA,Linear,100,FS,0.11028922169640047,0.0025729613513989927
49,SGCCA,Linear,100,MCC,0.09348322184479534,0.008131929273227017
50,DGCCA,Linear,100,Specificity,0.9430476447395578,0.016633067780128512
51,DGCCA,Linear,100,Precision,0.5633333333333332,0.12767145334803703
52,DGCCA,Linear,100,Recall,0.04578191473378126,0.01030541856202505
53,DGCCA,Linear,100,FS,0.0846669268117075,0.019030916839097665
54,DGCCA,Linear,100,MCC,-0.024811843135853398,0.05981923732540206
55,SNGCCA,Linear,100,Specificity,1.0,0.0
56,SNGCCA,Linear,100,Precision,1.0,0.0
57,SNGCCA,Linear,100,Recall,0.9500779206939695,0.09032314331527011
58,SNGCCA,Linear,100,FS,0.9719598917540344,0.05277631925093788
59,SNGCCA,Linear,100,MCC,0.9719900452285856,0.05182465448306678
60,RGCCA,Nonlinear,100,Specificity,0.9430696936524174,0.050024733817388936
61,RGCCA,Nonlinear,100,Precision,0.9126666666666668,0.0769963924118815
62,RGCCA,Nonlinear,100,Recall,0.04948628689156499,0.004165834553030605
63,RGCCA,Nonlinear,100,FS,0.09388080198897372,0.007895738434422369
64,RGCCA,Nonlinear,100,MCC,-0.008654813346633526,0.06542371550582404
65,SGCCA,Nonlinear,100,Specificity,0.9521124969847918,0.044767695744314585
