Name,Score
TUBA4B|80086,-0.06558482468985456
NUDT10|170685,0.05716643163838958
LINGO4|339398,-0.05643746940281805
MLPH|79083,0.056306639726953815
C1QL3|389941,0.05600210969131269
GPR81|27198,-0.05540513006948837
ZNF204P|7754,-0.05523449074180155
GRIA1|2890,-0.0543194355206463
SLC44A5|204962,0.05405226198717318
LAMB3|3914,0.052877485910837296
ADCY1|107,-0.05269308821941573
EDN3|1908,0.05229590647207942
C8orf80|389643,-0.052284066852100755
AOX1|316,-0.052128293204706445
UGT2B28|54490,-0.05205807637340004
LOC255167|255167,-0.051972923777616184
FAM133A|286499,0.05166521198615881
PGC|5225,0.05165727089798015
TMEM156|80008,-0.051501823588670045
PIWIL2|55124,0.05137979282402185
PGLYRP2|114770,0.051252669352431994
SLCO4C1|353189,0.05116595720479709
ABLIM3|22885,-0.05099367466146421
TPH1|7166,0.05084636331409561
PTCHD1|139411,-0.05061206509212517
DPF1|8193,0.050179227396901775
C5orf23|79614,-0.05007800137648145
PNMAL1|55228,0.04987870762024496
PCDHB3|56132,0.049745247449537434
PCDHGA2|56113,-0.049710089247583675
SCNN1G|6340,-0.049577774263141146
DMRT2|10655,0.04941732253150169
TSIX|9383,-0.04894460072125889
STXBP6|29091,0.04819380776498399
TMSB15A|11013,0.04813923140723708
RAET1E|135250,0.04806686804550346
KCNK1|3775,-0.0479476800958463
FMO1|2326,-0.047885292055552704
OR7E91P|79315,-0.04780794190733155
BAIAP3|8938,-0.04704075674753465
PAX1|5075,0.04682148432727245
FABP7|2173,-0.046668565868825986
LRRN1|57633,0.04634015962585364
FABP4|2167,-0.046255132283318595
DHDPSL|112817,-0.046109161133236154
AKR7A3|22977,0.045994079403572544
LOC100188947|100188947,-0.04574495637895387
PLIN4|729359,0.04574325353032257
NWD1|284434,0.04557336901426565
CENPV|201161,0.04548164720828999
DRD2|1813,-0.04534398635699065
IRX4|50805,0.04533825684364197
KRT9|3857,-0.04528978543378337
C11orf16|56673,0.04523096209425452
MAPT|4137,0.04522122727356824
SLIT1|6585,0.045165909765890355
SSPO|23145,-0.045153383758165515
UMODL1|89766,-0.044874694115273395
CLEC12A|160364,-0.044871540744052564
KRT15|3866,-0.044502244611314405
FLJ45983|399717,0.044373529797748994
UGT8|7368,0.04405160647288883
FAM69C|125704,-0.04401130029633816
NETO1|81832,0.04394278694022928
PLA2G10|8399,0.043812803695337174
FAIM2|23017,-0.04376695961354321
SYT3|84258,-0.04375654743833921
PRKCQ|5588,0.04371548025695787
KRT6A|3853,0.0436574530218177
PON1|5444,0.04364866810033074
KCNQ4|9132,0.04360840716389226
IBSP|3381,-0.0434978058641553
ALDH3A1|218,-0.04346634199789621
MAPK10|5602,0.04346567700614449
MPPED1|758,0.043384247535416615
C1orf116|79098,0.04329103468208897
HAL|3034,0.04320761610971718
HAR1B|768097,-0.04316854638425662
KERA|11081,-0.0430001057052877
PLA2G4F|255189,0.04299153298831452
AGR2|10551,-0.042937818220244034
SLC5A7|60482,-0.04290103917295413
ZNF711|7552,-0.042750697905631234
C9orf171|389799,0.04263340060254828
FGL1|2267,0.04248789672127071
PTPRN2|5799,0.04247513120191213
COL7A1|1294,0.04247487927917321
BMP5|653,0.04238672902162076
GPC2|221914,0.04229784682261216
PENK|5179,0.04225328096987818
EPYC|1833,0.04207452009927222
TGFBR3|7049,-0.04188003122388647
CYP4Z1|199974,-0.04187572387036969
CALCR|799,-0.041789658846274266
NKX2-5|1482,-0.041554521853975145
MYEOV|26579,0.04141088499562428
SLC4A11|83959,-0.041010988445971806
LYNX1|66004,0.04096792993732304
NCRNA00173|100287569,-0.04091151210252029
KLK6|5653,-0.040798918971638745
MT1L|4500,0.0407983411931678
IGFALS|3483,-0.04058377434759589
PRRT4|401399,0.040578076668920625
OBP2B|29989,-0.040571736509061054
RCOR2|283248,0.040503403739283496
MSI1|4440,-0.040421455103917946
CD1E|913,-0.04025788461258237
OBP2A|29991,0.04022695563332889
THRSP|7069,-0.04020907349598139
AMBP|259,0.04009555291696435
HCG4|54435,-0.04005910707218078
NIPAL1|152519,-0.03992660379562044
CKMT1B|1159,-0.03975708823976449
IL33|90865,-0.03972512970411812
IL17B|27190,-0.03964810330415786
S100A8|6279,0.039637632928007385
SLC16A6|9120,-0.039399538058606236
CYP4F3|4051,-0.03933169369304907
C2CD4A|145741,0.03920814465810048
CYP2C8|1558,0.03915121867633788
MIA|8190,0.03912415011051694
HIST1H2AG|8969,0.03907747975524046
PLAC4|191585,-0.039021616774575336
FOXD3|27022,0.03879955130570551
WFDC6|140870,0.03866787950357295
HEPHL1|341208,-0.03866444836588405
SYN2|6854,0.038662126545037666
ARHGDIG|398,-0.03863568242764038
NCRNA00093|100188954,-0.03832357328092861
DMKN|93099,-0.038137710702264675
FBN2|2201,-0.038129610909478896
SEMA3E|9723,-0.037959246395088235
C8orf34|116328,-0.03787371289276803
TTYH1|57348,-0.0378681628450996
GPR97|222487,-0.03768031442558191
PLCH1|23007,0.03742798799277946
RPL9|6133,-0.03739422689306073
MME|4311,-0.03729376989764421
PDZK1|5174,-0.03725069078848757
RLTPR|146206,0.03723722103643378
ELOVL3|83401,0.03698125654613048
ROPN1|54763,-0.03688463109339505
CLEC4E|26253,-0.036876756184111716
ST8SIA1|6489,-0.03685795902743556
IL12B|3593,0.03683697221871129
DIO3|1735,0.036710159393287804
