Name,Score
LOC100188947|100188947,-0.06388714050963386
FGFR3|2261,-0.06026458561034032
C1orf194|127003,-0.05882049866354387
CDK5R2|8941,-0.05855114689765654
SLC22A3|6581,-0.05774702964133929
CNTN4|152330,0.0564635821348567
C11orf88|399949,0.055374683948793024
C6orf126|389383,0.05507625901576859
LOC647946|647946,-0.05463836666213883
ARHGEF38|54848,0.05446651058711374
SCN2B|6327,-0.054246388774856096
THEMIS|387357,-0.05359279503898966
FOXP2|93986,-0.05297832065847606
DIO3|1735,0.05292237473666821
STK33|65975,-0.052890425617034845
OR7E91P|79315,-0.05247313877284153
KLHL13|90293,0.05236053416447333
HIST1H2BG|8339,-0.05235087351888372
KCNE4|23704,0.05216095086572334
PANX2|56666,0.05202930947846708
ENPP3|5169,0.05122882262719761
C1QL1|10882,0.050316623117563304
CLDN9|9080,0.05020344468245065
GPC3|2719,-0.05014965343977605
PGLYRP4|57115,-0.04977843232105612
KCNB1|3745,-0.049604356538596434
KBTBD12|166348,0.049535445665268775
BAIAP2L2|80115,0.04937659768877299
PTCHD1|139411,0.04921110212583458
IRX2|153572,-0.04919812067065774
VWA5B2|90113,0.04915914846953722
ABCA10|10349,-0.048960219294722364
KY|339855,0.04882796977091606
CT62|196993,0.048588550120276554
GJB7|375519,0.048022679071923174
PHGDH|26227,-0.047965255529458704
SIX2|10736,0.04796341660913922
CD27|939,0.047894508288741255
SLC34A2|10568,-0.047690202774905315
VGF|7425,-0.047648601745290196
CACNA1F|778,0.047643515615485875
KLRC1|3821,-0.04748010918539293
KCNH2|3757,-0.04743975721461894
RSPO1|284654,0.0472562659950735
ST6GALNAC5|81849,0.04705359734905781
PADI2|11240,-0.046835354520499826
TIMP4|7079,-0.046536473857620754
CR1|1378,-0.04639303055528725
CD207|50489,0.04599032750058606
EYA1|2138,0.045907499988097566
TEKT2|27285,0.04575957221545625
TIFAB|497189,-0.04552633693329568
HTR1D|3352,-0.04542855262593475
FTCD|10841,0.04534424134665557
AGR2|10551,0.04522005559416985
CENPV|201161,0.04510187134777725
HS3ST6|64711,0.0446746084006598
ESRRG|2104,-0.044478550654728215
HAPLN1|1404,-0.044377792341392656
CDHR1|92211,-0.04437697586299364
SCAND3|114821,0.04411581075777507
DCLK1|9201,0.044112634906562774
CALHM1|255022,-0.04409643782973845
WBSCR26|171022,0.044030499467351644
SLC4A4|8671,-0.04397052930840007
MMP9|4318,0.04374354838292844
CXCL2|2920,-0.04356662558914629
HS6ST3|266722,-0.04355278941270102
ASS1|445,0.04347123430541109
CWH43|80157,0.043432288526543926
HEPN1|641654,0.043361652682451256
PNMT|5409,-0.043173096435248366
HAL|3034,0.04281080255144637
SCN7A|6332,0.04261537928470592
HRASLS5|117245,-0.04259603661120842
SNCG|6623,-0.04250766847934262
KRT17|3872,0.04246393105626071
DDC|1644,0.04230214975101977
TEKT3|64518,-0.0420867709202946
LYNX1|66004,-0.04205320196122907
CORIN|10699,-0.041975343154782616
ACY3|91703,-0.04158544369350885
SYNM|23336,0.04142854801443348
AREG|374,0.04133286494778887
KIAA2022|340533,0.0412431073212145
LPO|4025,-0.041216349265054
MSL3L2|151507,0.04108255623927713
RASAL1|8437,-0.041080658308438545
AMZ1|155185,0.04086976797116087
CRABP2|1382,-0.040763282152386233
TLL2|7093,0.04066844731400235
BMP4|652,0.040532695573352685
ACMSD|130013,0.04037861424721856
FOXN4|121643,-0.04036149400881758
PCSK9|255738,-0.04034076150616419
CCL19|6363,0.040279690060749176
PTN|5764,0.04011306848402838
SLC26A5|375611,-0.039921224776474494
DMRTC1B|728656,-0.03986370436589971
SV2B|9899,-0.03984443314544887
C6orf15|29113,-0.039832051425601256
CHRDL2|25884,0.03974519637216303
NETO1|81832,0.03973264187114421
LILRA4|23547,0.03954185259449379
RAI2|10742,-0.03943341265854482
AMPH|273,-0.039415030304894114
LOC645323|645323,-0.03933022938751592
PI15|51050,-0.03928906172119133
FAM183A|440585,0.03927352717520074
