Name,Score
PGR|5241,0.07485299350258698
C11orf16|56673,0.06643420346711804
S100A1|6271,-0.061496330043608494
NAP1L2|4674,0.06083205286913877
CLDN19|149461,-0.06031288948439526
LINGO1|84894,0.06011872347044564
PLAC1|10761,0.057163790361973416
KLK4|9622,0.05705786965247852
PCDHGA4|56111,0.056375516026543296
PCDHGA1|56114,-0.056036083346874294
CHST6|4166,0.05577416850398143
THBS4|7060,0.0553706140240744
HK3|3101,0.05515246657214277
HEPHL1|341208,-0.05378395513538286
HS3ST4|9951,0.05376462845210989
GDF5|8200,-0.05353376905794147
FLG|2312,0.05211655429997918
TNNI2|7136,-0.05204420177727926
DSG3|1830,0.05134349726329925
BEST3|144453,0.05131054513418527
LRRN1|57633,0.0511844944638644
NCRNA00092|100188953,-0.05086406841797228
KIAA1751|85452,-0.050618500635049975
KRT75|9119,-0.050427534473187326
NDP|4693,0.04964720153563537
UBXN10|127733,-0.04940078218797057
CLEC4F|165530,0.04937167118669928
LONRF2|164832,-0.049183685341206713
ENPP5|59084,0.04916305841575428
MYOZ3|91977,-0.04890442889097423
PPFIA4|8497,-0.04869550783517633
SLC27A6|28965,0.04850132814549428
PSD3|23362,-0.04843917871299401
SIX1|6495,-0.04838399538768759
ASRGL1|80150,-0.048357382057910875
PPP4R4|57718,0.048121841844075204
GSTM2|2946,-0.048015658363163086
C1orf130|400746,-0.047881020549048935
RGN|9104,-0.04778458745827242
IGF1|3479,0.047722206834747094
AMY1A|276,-0.04768787248338229
MS4A1|931,0.04730388456294314
UGT2B7|7364,-0.04684262391369772
PCK1|5105,-0.04676205208105571
SLC26A5|375611,-0.046471281404228536
LSAMP|4045,-0.046456004672185046
FREM2|341640,-0.046318641840455296
ACTG2|72,0.04628870075728971
WDR63|126820,-0.04620934680105969
KCND2|3751,0.04619292995462535
MKRN3|7681,-0.046182360119500214
KCNK15|60598,-0.04589973049522853
C4orf31|79625,-0.04578448455853527
CYP4F22|126410,0.04558168636188891
NKX2-5|1482,-0.045527689203082373
ADAMTS8|11095,0.04537668574338176
CACNA2D2|9254,0.045292086933578356
KLK13|26085,-0.045261793800523586
SELE|6401,0.0452521708293777
PDZK1|5174,-0.04491099247415503
TUBA3D|113457,-0.044744045863526705
CNKSR2|22866,-0.04446052651937318
VWA5B2|90113,0.04444389468431445
AZU1|566,0.044171313470516435
KIAA1199|57214,-0.044157021792390554
C1orf95|375057,-0.04379535021990554
CITED4|163732,0.04355365154281449
FCRL5|83416,-0.04333870765462617
ABCC12|94160,0.04303361458525403
GJB1|2705,-0.042964611965786936
NLRP5|126206,-0.04286478777153779
CCDC74A|90557,-0.04281076191777104
C7|730,-0.04272964663746252
MLPH|79083,-0.04272912703704675
IGFBPL1|347252,0.042645312627907175
HSPB8|26353,-0.04248424696391964
THEG|51298,-0.04236568503952908
YBX2|51087,-0.04228639757937522
C6orf126|389383,-0.04195196354528042
EFCAB1|79645,-0.041847610783496414
SLC7A3|84889,-0.04179218719260322
BARX2|8538,0.041785989266109505
ZNF229|7772,-0.04156655981624273
DEGS2|123099,0.0414896257949693
CNR2|1269,0.04142089350557797
PHEX|5251,0.04123070295109961
CCR4|1233,-0.041200315699671634
TARP|445347,0.04097688253059136
UPK3B|80761,-0.04094176510663901
PAR5|8123,0.040673355824752136
MYCBPAP|84073,0.04049198343071581
C2orf70|339778,-0.040421634159398125
FAM177B|400823,0.04027664883988766
KLHL13|90293,-0.040143745126648214
HSD11B1|3290,0.04006760809262968
ATP1A4|480,0.040049023203478216
ASTN1|460,0.03985999552769397
ALDH3B2|222,-0.039825957631077484
PCDHGA2|56113,0.039620748965595275
SYNPO2L|79933,-0.0395981929818073
MAK|4117,-0.03951525384128016
WNT10A|80326,0.039514288072519596
CLDN8|9073,0.03948261130025897
ESPNL|339768,0.03939541970748713
CWH43|80157,0.039313495209293635
TSIX|9383,-0.039257238432168405
ADH1B|125,-0.03912295359236823
IL1F5|26525,0.0391142633340077
PAK3|5063,0.038951498808536454
PCDHA3|56145,-0.03877906412600036
