Name,Score
LRRC16B|90668,0.06832948072318436
PAEP|5047,-0.06721207632090608
KPNA7|402569,-0.06698276505487766
PCOTH|542767,-0.06652739731751067
LOC121838|121838,-0.06620510883826775
PKIA|5569,0.06310310242003957
C21orf128|150147,-0.062258646238837714
KCNH1|3756,-0.061871704096892015
PRSS12|8492,-0.06056758348316133
LRAT|9227,-0.056010593765799185
FIGN|55137,-0.05577301054940928
CNNM1|26507,0.055464079763315036
FAM38B|63895,0.055287393648588264
PCDHGB4|8641,0.055031494785765564
CPEB1|64506,-0.05447651079595085
TRH|7200,0.05432981013732225
FAM92B|339145,-0.054133928610130534
SLPI|6590,-0.053110520886613465
RAET1E|135250,-0.0529918622113553
C8orf86|389649,0.05272227637060897
KIT|3815,-0.05198823515728897
SH3RF2|153769,-0.051755776094472045
SDK2|54549,-0.05122838221531284
CXCL6|6372,0.05112063161314964
KLK12|43849,-0.050773819121911486
CYP2C8|1558,0.05042326348372664
DLGAP3|58512,-0.05041085316655345
HOXB9|3219,0.05036537157385883
KIAA1199|57214,-0.05003963002676687
HRASLS2|54979,-0.04998181505432465
SKAP1|8631,-0.049407696588308785
SCGB2A1|4246,0.04940187947690178
C2orf62|375307,-0.048996924054921426
HPN|3249,-0.04896898204852185
GRIN1|2902,0.04884284733256545
ZIC1|7545,0.048602627329316465
PDZK1P1|728939,-0.04855305881777227
CAMKV|79012,-0.04843202754805157
LEP|3952,0.04834995125372641
PDIA2|64714,-0.04812130163677475
MGC2889|84789,0.048077360653497055
TRIM55|84675,0.047925802024061735
SERPINB2|5055,-0.04766250067720922
CBLN4|140689,-0.04748417545910234
ELAVL3|1995,-0.0473222203657993
SEMA3B|7869,-0.04715140502054368
PCDHA10|56139,-0.046913304230380926
HABP2|3026,-0.04657143827676081
BFSP2|8419,0.046340520834244094
TCL1B|9623,-0.046297908575795015
ATP1A3|478,0.04624749950345077
SAMD13|148418,-0.04623037574362653
LAMB3|3914,-0.04620726060109282
PAR5|8123,-0.04596575885644082
SOX10|6663,-0.04589401559731008
KRT16|3868,0.04536900770781629
CD163L1|283316,-0.04527890446550594
SIM1|6492,-0.045231285539808305
C3orf57|165679,-0.04509495022437665
ZNF711|7552,0.04509219363521256
WNK4|65266,-0.04500070338074468
XCL1|6375,-0.044793568893016285
GJA1|2697,-0.04479156593002343
THSD7B|80731,0.04474745533390617
LEMD1|93273,0.04474008639688599
HSD3B2|3284,-0.044689796739587215
KCNQ4|9132,0.04463565396822768
NOXO1|124056,-0.044566133933354984
TMPRSS5|80975,0.04448260808985364
IL18RAP|8807,-0.04382332287112844
BNC1|646,-0.04359536309199537
NME5|8382,0.04359505157756737
SCGB1D2|10647,-0.043297822156412376
FMO5|2330,-0.043133108334655
C20orf26|26074,0.0430558306054278
GREM2|64388,0.04261564871434076
SPSB4|92369,0.04258022545455556
SLC30A2|7780,-0.04250029376117712
SYT12|91683,0.042219782397102924
MOGAT2|80168,-0.04208521434646038
CHST4|10164,0.04197168170954925
PNMAL1|55228,0.041940511683707375
SHC4|399694,0.041909540673873445
GABRA3|2556,-0.04177322125325785
CNR1|1268,-0.04177210753680421
SNAP25|6616,-0.04173466168044123
LY6H|4062,-0.041618727603544535
C8orf84|157869,-0.041567702833351546
WDR66|144406,0.04153010406020046
C1orf64|149563,0.04144642569767383
ALOX15B|247,-0.04123410980415398
KRT5|3852,0.04121834993762096
SOX6|55553,0.04108534952866565
JSRP1|126306,0.041069885506417686
ERMN|57471,0.04102146766578198
PIK3C2G|5288,-0.04100758295999875
NEFL|4747,0.04092545332840835
PTPRT|11122,-0.04085790241683636
ABO|28,-0.04083317907197495
NLRP6|171389,-0.04073467504762377
C14orf50|145376,-0.04063234189359922
SERPINA4|5267,-0.040581533255384765
C2orf65|130951,0.04052521525018978
KANK4|163782,0.04050042250948912
MARCH4|57574,-0.04033713054630217
ANK1|286,0.0402392112228721
TH|7054,0.04020101268791601
EYA2|2139,0.04018959860258666
ZP1|22917,0.040058376922433754
AQP7P1|375719,-0.039987978115144214
ALDH1L1|10840,-0.039981322153349166
SLC26A7|115111,0.039957990423795046
IL1RAPL2|26280,0.039922760900140006
NCRNA00110|642976,0.039828807021572085
TNFSF15|9966,0.03961522033105667
ACTG2|72,-0.03951118204323163
METTL7B|196410,0.039381000227701746
DOC2B|8447,-0.03933659906399973
ZNF214|7761,0.03933039767047202
PPM1E|22843,-0.03909479358070384
CNTFR|1271,0.038966003060206686
CHRDL2|25884,-0.03878574434643474
PKP1|5317,-0.03871203945931136
SLC16A11|162515,-0.03851895319355461
NBPF4|148545,0.03847890716851629
ART3|419,0.03841525204815088
CHGB|1114,0.03835743108850682
SLURP1|57152,-0.03833325336147014
WDR65|149465,-0.038299628029236275
TNR|7143,0.038289662192881366
TMC5|79838,0.038287046681074736
BARX2|8538,-0.038171340288570374
FCRL1|115350,-0.03808388090692805
KIR2DL4|3805,-0.038032043939832956
PRKG2|5593,-0.03796213813393809
FABP6|2172,-0.03790266885772923
SLC18A2|6571,-0.03785918828060062
SLC6A2|6530,0.037820763110816995
SOX15|6665,-0.03767763035103054
SCUBE1|80274,-0.03757662971555631
DIRAS1|148252,-0.03753965779024432
GREB1|9687,-0.03753667796907692
TERT|7015,-0.03740269607047153
PCDHGA8|9708,0.03738904115931859
RGN|9104,-0.037351864469264834
CHRD|8646,-0.03728615112421793
KLRK1|22914,-0.037282348345635166
LOC642587|642587,0.037266701313941594
SLC1A2|6506,0.037194314794769374
CCKBR|887,0.03713243444263207
HIST1H2AG|8969,-0.03699605624228677
